asks,bids,number_of_transaction,time_between_block,Avg_Bitcoin_network_hashrate,Block size votes,Blockchain blocks size,Bid-ask spread,trade_per_minutes,price,signal
2051254.81,2718116.401,248041,10.81703704,7.04771E+18,135,728603.7185,0.048609033,18.80632716,6559.565636,1
1831183.968,3437814.053,235862,11.05858974,6.03205E+18,130,745063.8769,0.047535399,15.99228395,6583.908835,-1
1970858.318,1885339.908,244945,9.958333333,5.95423E+18,144,696430.5972,0.043731358,20.5503858,6519.4124,-1
1734400.963,2088614.629,262467,9.09475891,6.5196E+18,159,704010.3396,0.055313457,38.15787037,6217.8181,-1
1595510.737,2075977.197,243174,10.92525253,6.10566E+18,132,800574.1515,0.052134535,21.39174383,6201.589929,1
1290005.422,1588515.679,205097,10.19373522,5.81673E+18,141,627954.3617,0.060922069,14.53634259,6208.639335,1
2046808.064,1864711.908,191259,12.6497076,4.68739E+18,114,707592.3772,0.052495713,15.51203704,6234.085481,1
2629455.786,1389848.516,266945,8.83600823,6.71051E+18,162,725831.7901,0.064365772,50.98441358,6375.127387,1
2125032.943,1603274.121,257967,10.61851852,5.02563E+18,135,793523.0296,0.061583673,22.69783951,6426.058178,-1
2184450.326,1876605.887,260362,10.5544686,5.05613E+18,138,808885.7029,0.053941854,19.82361111,6420.268202,1
2939404.644,1839524.348,253450,10.39335749,5.11549E+18,138,755877.442,0.060899455,20.22307099,6432.254774,-1
2464027.18,1504282.325,253826,9.978873239,6.44071E+18,142,775649.8732,0.049860305,17.98194444,6406.810608,-1
